timestamp,mode,endpoint,video_id,prompt_tokens,output_tokens,total_tokens,latency_ms,triggered,note
2026-05-09T08:17:28.671838Z,baseline,analyze_frame,_QVQCHGn0mM,1442,72,1514,3815.6,False,t=208s
2026-05-09T08:17:31.840404Z,baseline,analyze_frame,_QVQCHGn0mM,1442,60,1502,2952.6,False,t=212s
2026-05-09T08:17:36.036705Z,baseline,analyze_frame,_QVQCHGn0mM,1442,55,1497,2982.5,False,t=216s
2026-05-09T08:17:40.935720Z,baseline,analyze_frame,_QVQCHGn0mM,1442,63,1505,3939.4,False,t=220s
2026-05-09T08:17:45.015840Z,baseline,analyze_frame,_QVQCHGn0mM,1442,57,1499,3835.1,False,t=224s
2026-05-09T08:17:47.894832Z,baseline,analyze_frame,_QVQCHGn0mM,1442,53,1495,2848.7,False,t=228s
2026-05-09T08:17:54.040303Z,baseline,analyze_frame,_QVQCHGn0mM,1442,52,1494,5285.2,False,t=232s
2026-05-09T08:17:56.119439Z,baseline,analyze_frame,_QVQCHGn0mM,1442,67,1509,3344.0,False,t=236s
2026-05-09T08:18:01.173296Z,baseline,analyze_frame,_QVQCHGn0mM,1442,60,1502,4344.8,False,t=240s
2026-05-09T08:18:04.276156Z,baseline,analyze_frame,_QVQCHGn0mM,1442,61,1503,3544.0,False,t=244s
2026-05-09T08:18:07.921839Z,baseline,analyze_frame,_QVQCHGn0mM,1442,64,1506,3286.7,False,t=248s
2026-05-09T08:18:12.034264Z,baseline,analyze_frame,_QVQCHGn0mM,1442,55,1497,3296.2,False,t=252s
2026-05-09T08:18:15.933995Z,baseline,analyze_frame,_QVQCHGn0mM,1442,67,1509,3081.9,False,t=256s
2026-05-09T08:18:20.273202Z,baseline,analyze_frame,_QVQCHGn0mM,1442,58,1500,3551.9,False,t=260s
2026-05-09T08:18:24.135613Z,baseline,analyze_frame,_QVQCHGn0mM,1442,53,1495,3290.7,False,t=264s
2026-05-09T08:18:28.645756Z,baseline,analyze_frame,_QVQCHGn0mM,1442,60,1502,3887.1,False,t=268s
2026-05-09T08:18:31.821920Z,baseline,analyze_frame,_QVQCHGn0mM,1442,88,1530,3089.9,False,t=272s
2026-05-09T08:18:38.371419Z,baseline,analyze_frame,_QVQCHGn0mM,1442,63,1505,5537.3,False,t=276s
2026-05-09T08:18:40.489918Z,baseline,analyze_frame,_QVQCHGn0mM,1442,55,1497,3711.6,False,t=280s
2026-05-09T08:18:43.701408Z,baseline,analyze_frame,_QVQCHGn0mM,1442,64,1506,2919.8,False,t=284s
2026-05-09T08:18:47.519133Z,baseline,analyze_frame,_QVQCHGn0mM,1442,62,1504,2684.2,False,t=288s
2026-05-09T08:18:52.138859Z,baseline,analyze_frame,_QVQCHGn0mM,1442,57,1499,3344.3,False,t=292s
2026-05-09T08:18:58.019452Z,baseline,analyze_frame,_QVQCHGn0mM,1442,59,1501,5234.5,False,t=296s
2026-05-09T08:18:59.632753Z,baseline,analyze_frame,_QVQCHGn0mM,1442,56,1498,2818.4,False,t=300s
2026-05-09T08:19:04.160301Z,baseline,analyze_frame,_QVQCHGn0mM,1442,71,1513,3383.1,False,t=304s
2026-05-09T08:19:08.143278Z,baseline,analyze_frame,_QVQCHGn0mM,1442,96,1538,3197.3,False,t=308s
2026-05-09T08:19:12.076388Z,baseline,analyze_frame,_QVQCHGn0mM,1442,71,1513,3225.8,False,t=312s
2026-05-09T08:19:16.570045Z,baseline,analyze_frame,_QVQCHGn0mM,1442,60,1502,3644.8,False,t=316s
2026-05-09T08:19:20.467272Z,baseline,analyze_frame,_QVQCHGn0mM,1442,71,1513,3615.2,False,t=320s
2026-05-09T08:19:24.399968Z,baseline,analyze_frame,_QVQCHGn0mM,1442,79,1521,3514.4,False,t=324s
2026-05-09T08:19:28.755354Z,baseline,analyze_frame,_QVQCHGn0mM,1442,69,1511,3864.1,False,t=328s
2026-05-09T08:19:33.781908Z,baseline,analyze_frame,_QVQCHGn0mM,1442,81,1523,4992.3,False,t=332s
2026-05-09T08:19:35.936617Z,baseline,analyze_frame,_QVQCHGn0mM,1442,85,1527,3140.7,False,t=336s
2026-05-09T08:19:39.920169Z,baseline,analyze_frame,_QVQCHGn0mM,1442,66,1508,3177.1,False,t=340s
2026-05-09T08:19:44.126904Z,baseline,analyze_frame,_QVQCHGn0mM,1442,81,1523,3410.5,False,t=344s
2026-05-09T08:19:48.964463Z,baseline,analyze_frame,_QVQCHGn0mM,1442,87,1529,4136.6,False,t=348s
2026-05-09T08:19:52.699269Z,baseline,analyze_frame,_QVQCHGn0mM,1442,59,1501,3886.4,False,t=352s
2026-05-09T08:19:56.104483Z,baseline,analyze_frame,_QVQCHGn0mM,1442,96,1538,3303.4,False,t=356s
2026-05-09T08:19:59.966095Z,baseline,analyze_frame,_QVQCHGn0mM,1442,37,1479,3104.7,False,t=360s
2026-05-09T08:20:05.687326Z,baseline,analyze_frame,_QVQCHGn0mM,1442,63,1505,4858.0,False,t=364s
2026-05-09T08:20:07.771819Z,baseline,analyze_frame,_QVQCHGn0mM,1442,85,1527,2994.7,False,t=368s
2026-05-09T08:20:12.175497Z,baseline,analyze_frame,_QVQCHGn0mM,1442,58,1500,3225.2,False,t=372s
2026-05-09T08:20:16.420361Z,baseline,analyze_frame,_QVQCHGn0mM,1442,89,1531,3392.0,False,t=376s
2026-05-09T08:20:20.465085Z,baseline,analyze_frame,_QVQCHGn0mM,1442,81,1523,3521.1,False,t=380s
2026-05-09T08:20:24.187684Z,baseline,analyze_frame,_QVQCHGn0mM,1442,71,1513,3197.6,False,t=384s
2026-05-09T08:20:29.043570Z,baseline,analyze_frame,_QVQCHGn0mM,1442,63,1505,3576.5,False,t=388s
2026-05-09T08:20:32.504170Z,baseline,analyze_frame,_QVQCHGn0mM,1442,72,1514,3147.4,False,t=392s
