timestamp,video_id,video_time_sec,local_score,nlp_score,is_highlight_auto,is_highlight_manual
2026-04-19T20:36:10.593227Z,j2L9F2l14UU,16.0,1.0,0.6,0,
2026-04-19T20:36:14.465018Z,j2L9F2l14UU,20.0,1.0,0.7,1,
2026-04-19T20:36:30.340201Z,j2L9F2l14UU,36.0,1.0,0.6,0,
2026-04-19T20:36:34.384665Z,j2L9F2l14UU,40.0,1.0,0.7,1,
2026-04-19T20:36:50.510238Z,j2L9F2l14UU,56.0,1.0,0.7,1,
2026-04-19T20:37:06.338073Z,j2L9F2l14UU,72.0,1.0,0.6,0,
2026-04-19T20:37:10.655521Z,j2L9F2l14UU,76.0,1.0,0.6,0,
2026-04-19T20:37:14.608843Z,j2L9F2l14UU,80.0,0.95,0.6,0,
2026-04-19T20:37:18.775456Z,j2L9F2l14UU,84.0,0.825,0.7,1,
2026-04-19T20:37:40.804868Z,j2L9F2l14UU,100.0,1.0,0.7,1,
2026-04-19T20:37:50.381041Z,j2L9F2l14UU,116.0,0.95,0.6,0,
2026-04-19T20:37:54.656007Z,j2L9F2l14UU,120.0,0.95,0.7,1,
2026-04-19T20:38:10.897415Z,j2L9F2l14UU,136.0,1.0,0.6,0,
2026-04-19T20:38:14.432365Z,j2L9F2l14UU,140.0,1.0,0.7,1,
2026-04-19T20:38:30.655834Z,j2L9F2l14UU,156.0,1.0,0.7,1,
2026-04-19T20:38:46.733608Z,j2L9F2l14UU,172.0,1.0,0.7,1,
2026-04-19T20:39:02.338963Z,j2L9F2l14UU,188.0,1.0,0.6,0,
2026-04-19T20:39:06.711319Z,j2L9F2l14UU,192.0,1.0,0.7,1,
2026-04-19T20:39:22.578125Z,j2L9F2l14UU,208.0,0.95,0.6,0,
2026-04-19T20:39:26.487506Z,j2L9F2l14UU,212.0,1.0,0.7,1,
2026-04-19T20:39:42.747681Z,j2L9F2l14UU,228.0,0.825,0.7,1,
2026-04-19T20:39:58.722898Z,j2L9F2l14UU,244.0,0.95,0.7,1,
2026-04-19T20:40:14.601694Z,j2L9F2l14UU,260.0,1.0,0.7,1,
